
> blog-sas-tool1@1.0.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.213:3000
- Environments: .env.local

✓ Starting...
✓ Ready in 977ms
 GET /planner 200 in 2.2s (compile: 1190ms, proxy.ts: 13ms, render: 1013ms)
 POST /planner 200 in 24ms (compile: 3ms, proxy.ts: 11ms, render: 9ms)
 POST /planner 200 in 422ms (compile: 2ms, proxy.ts: 5ms, render: 414ms)
 POST /planner 200 in 292ms (compile: 5ms, proxy.ts: 11ms, render: 277ms)
 GET /planner 200 in 783ms (compile: 8ms, proxy.ts: 16ms, render: 760ms)
 POST /planner 200 in 28ms (compile: 4ms, proxy.ts: 10ms, render: 13ms)
 POST /planner 200 in 403ms (compile: 3ms, proxy.ts: 9ms, render: 391ms)
 POST /planner 200 in 271ms (compile: 5ms, proxy.ts: 10ms, render: 256ms)
 POST /planner 500 in 655ms (compile: 11ms, proxy.ts: 16ms, render: 628ms)
 POST /planner 500 in 876ms (compile: 8ms, proxy.ts: 35ms, render: 834ms)
✓ Compiled in 102ms
 GET /planner 200 in 319ms (compile: 2ms, proxy.ts: 5ms, render: 312ms)
 GET /planner 200 in 652ms (compile: 215ms, proxy.ts: 35ms, render: 402ms)
 GET /access 200 in 52ms (compile: 27ms, proxy.ts: 10ms, render: 15ms)
 GET /access 200 in 18ms (compile: 2ms, proxy.ts: 8ms, render: 8ms)
 POST /access 200 in 368ms (compile: 2ms, proxy.ts: 6ms, render: 360ms)
 POST /access 200 in 356ms (compile: 1516µs, proxy.ts: 7ms, render: 347ms)
 POST /access 200 in 281ms (compile: 11ms, proxy.ts: 14ms, render: 256ms)
 POST /access 200 in 288ms (compile: 8ms, proxy.ts: 14ms, render: 265ms)
✓ Compiled in 27ms
 GET /access 200 in 224ms (compile: 4ms, proxy.ts: 12ms, render: 209ms)
 GET /access 200 in 181ms (compile: 3ms, proxy.ts: 6ms, render: 171ms)
 POST /access 200 in 399ms (compile: 5ms, proxy.ts: 24ms, render: 370ms)
 POST /access 200 in 494ms (compile: 6ms, proxy.ts: 22ms, render: 467ms)
 POST /access 200 in 274ms (compile: 8ms, proxy.ts: 10ms, render: 257ms)
 POST /access 200 in 268ms (compile: 6ms, proxy.ts: 12ms, render: 251ms)
